iter SLP Tperiod AMP_WK Xslp
860 0.09 8 1.5 918.12
861 0.09 9 0.5 918.12
862 0.09 9 0.61 918.12
863 0.09 9 0.72 918.12
864 0.09 9 0.83 918.12
865 0.09 9 0.94 918.12
866 0.09 9 1.06 918.12
867 0.09 9 1.17 918.12
868 0.09 9 1.28 918.12
869 0.09 9 1.39 918.12
870 0.09 9 1.5 918.12
871 0.09 10 0.5 918.12
872 0.09 10 0.61 918.12
873 0.09 10 0.72 918.12
874 0.09 10 0.83 918.12
875 0.09 10 0.94 918.12
876 0.09 10 1.06 918.12
877 0.09 10 1.17 918.12
878 0.09 10 1.28 918.12
879 0.09 10 1.39 918.12
880 0.09 10 1.5 918.12
881 0.09 11 0.5 918.12
882 0.09 11 0.61 918.12
883 0.09 11 0.72 918.12
884 0.09 11 0.83 918.12
885 0.09 11 0.94 918.12
886 0.09 11 1.06 918.12
887 0.09 11 1.17 918.12
888 0.09 11 1.28 918.12
889 0.09 11 1.39 918.12
890 0.09 11 1.5 918.12
891 0.09 12 0.5 918.12
892 0.09 12 0.61 918.12
893 0.09 12 0.72 918.12
894 0.09 12 0.83 918.12
895 0.09 12 0.94 918.12
896 0.09 12 1.06 918.12
897 0.09 12 1.17 918.12
898 0.09 12 1.28 918.12
899 0.09 12 1.39 918.12
900 0.09 12 1.5 918.12
901 0.1 3 0.5 924
902 0.1 3 0.61 924
903 0.1 3 0.72 924
904 0.1 3 0.83 924
905 0.1 3 0.94 924
906 0.1 3 1.06 924
907 0.1 3 1.17 924
908 0.1 3 1.28 924
909 0.1 3 1.39 924
910 0.1 3 1.5 924
911 0.1 4 0.5 924
912 0.1 4 0.61 924
913 0.1 4 0.72 924
914 0.1 4 0.83 924
915 0.1 4 0.94 924
916 0.1 4 1.06 924
917 0.1 4 1.17 924
918 0.1 4 1.28 924
919 0.1 4 1.39 924
